author_id,name,votes
3,W. Frederick Zimmerman,2
4,Douglas Adams,55
7,Bill Bryson,66
9,Chris Smith,1
10,Jude Fisher,9
12,James Hamilton-Paterson,9
14,Mark Watson,2
16,Edith Wharton,63
17,Luther Butler,1
18,Gary Paulsen,103
20,Dale Peck,6
23,Angela Knight,11
24,Delia Sherman,4
25,Patricia A. McKillip,49
26,Anne McCaffrey,121
27,Zilpha Keatley Snyder,41
29,Kate Horsley,6
31,Elaine Cunningham,17
32,Philippa Carr,10
33,Edward P. Jones,6
36,Satyajit Das,1
38,Mark Smylie,5
40,John McPhee,40
41,Loretta Krupinski,1
42,Wendy Wasserstein,10
47,Heidi Boyd,4
49,Johanna Spyri,8
50,Heidi Betts,4
52,Heidi Pitlor,1
53,Heidi Murkoff,1
54,Heidi W. Boehringer,2
56,Brian Herbert,5
58,Frank Herbert,73
60,Gary Russell,10
63,Bryce Courtenay,18
64,Stephen Moss,3
67,Francis Frangipane,6
68,John C. Maxwell,53
69,Dave Lakhani,1
71,Adam Ginsberg,1
72,Marsha Collier,2
79,Ruby Ann Boxcar,3
87,Gloria Goldreich,6
88,Anthony Thorlby,1
90,Mulk Raj Anand,2
91,John Banville,25
93,Narendra Jadhav,3
106,Madeleine L'Engle,72
107,John Carratello,3
112,Tara McCarthy,1
128,Daisy Bates,1
129,Jerome Kagan,2
130,Cynthia Harrod-Eagles,44
131,Charles Todd,23
136,Erna Paris,1
142,Edward Lear,12
143,Edward Mendelson,1
146,Quentin Blake,19
147,Henry Miller,37
149,Erving Goffman,5
150,Charles A. Coulombe,2
151,Sian Phillips,1
156,Braiden Rex-Johnson,2
157,Malcolm Miles,1
159,Henry James,76
161,Lyn Cowan,1
163,Marguerite Duras,19
164,John E. Upledger,1
173,George Eliot,29
179,Ann McGovern,4
184,David Smith,1
186,James R. Shott,3
187,Robert M. Sapolsky,8
188,Jonathan Rowson,2
192,Debbie Raleigh,11
193,Kevin Henkes,49
194,Mark Shulman,1
195,Stephen R. Swinburne,5
197,Tom Robbins,22
201,Mandy Aftel,2
205,Robert A. Heinlein,132
209,Terry Jones,8
213,Adam Sacks,1
214,Norton Juster,3
219,Harry G. Frankfurt,2
220,Nick Flynn,5
221,Stanley Bing,13
222,Lois Beckwith,1
228,Garry Wills,24
229,Abraham Lincoln,6
231,Jean Fritz,17
232,Carin T. Ford,3
233,Don DeLillo,34
235,Thomas Pynchon,18
236,Harold Bloom,81
238,Joan Didion,24
243,Eric Brown,4
248,Al Lacy,9
253,Aliki Varvogli,1
256,Jared Diamond,10
260,Robert D. Putnam,3
261,Scott M. Huse,1
262,Vincent Dunn,1
265,Stephen Kotkin,2
267,Joy Harjo,6
271,Lyle Campbell,1
272,Franz Boas,2
278,Nikola Tesla,4
281,Carol Dommermuth-Costa,1
285,John H. Lienhard,2
287,Michael Eliot Howard,6
288,Drew Gilpin Faust,3
289,Eric J. Hobsbawm,7
291,Maxine Anderson,1
293,Tom Stoppard,27
294,Dori Hillestad Butler,6
296,William J. Ryczek,1
301,Bruce A. Tate,1
302,Chad Fowler,2
306,William Golding,25
316,Alice Sebold,13
317,Sharyn McCrumb,37
320,Peggy Layton,1
322,Art Ludwig,1
326,Joanne Kellar Bouknight,1
330,Paige Gilchrist,2
336,Brad Miner,1
337,Walker Percy,17
341,Andy Budd,1
346,Rachel Andrew,1
347,Elizabeth Castro,5
348,Eric A. Meyer,3
349,Dan Cederholm,1
350,Patricia Schultz,5
355,Michael Ochs,3
359,Colin Larkin,2
360,Sean Egan,1
361,Uwe Ommer,1
367,Alex Patterson,1
368,Dennis Slifer,1
371,Christopher Chippindale,1
373,Joshua Davis,3
374,Ed Tittel,3
375,Chuck Klosterman,13
376,Michael Stebbins,2
377,Diane Coyle,1
378,Eric Bogosian,10
380,Eric Schlosser,7
381,Clifford A. Pickover,16
385,Charles Cohen,1
389,Nicole Hollander,6
393,Christina Hoff Sommers,3
394,Jeff Rogers,1
395,Jane Feather,35
397,Robert B. Parker,82
398,David Bach,13
399,Napoleon Hill,19
401,Robert M. Pirsig,15
403,Beverly Cleary,24
411,Kevin O'Malley,13
412,Keith Code,1
413,Daniel B. Meyer,1
419,Naomi Klein,4
420,Roland Muller,1
424,Leslie Cabarga,2
427,David E. Carter,2
429,Rachel Kadish,3
430,Sonny Brewer,4
432,Ayn Rand,32
435,David Seidman,1
437,Colin Wells,1
438,Billy Collins,11
444,Kevin Trudeau,7
445,Paul Hawken,4
446,David Krogh,1
447,Bernard Malamud,8
451,Daniel D. Chiras,3
452,Patrick L. Abbott,1
454,David Carson,1
455,Marshall McLuhan,6
457,Anne Tyler,62
459,Robert Cullen,1
463,Philip Roth,72
464,Tavis Smiley,4
465,Alexis de Tocqueville,6
466,Jon Stewart,2
467,Richard Hollis,2
471,David P. Billington,1
472,Robert Klanten,3
478,Bruce Arnold,1
479,Phil Capone,1
481,Mel Bay,1
497,Joe Pass,1
500,Jorge Luis Borges,20
509,Brian Greene,9
513,Hsing Yun,1
515,Steve Hagen,2
519,Steve McCurry,4
521,Steve Weissman,1
522,Charlotte Joko Beck,3
