group,group_title,size,covered,genre_similarity,null_mean,z,dominant_genre,dominant_share,purity,top_genres
G0,Contemporary American poetry,177,164,0.8037,0.1120,102.7,poetry,0.712,0.902,"poetry 0.71, biography & memoir 0.04, short stories 0.03"
G1,Thriller bestsellers,158,145,0.5507,0.1120,60.5,thriller,0.299,0.462,"thriller 0.30, mystery 0.23, crime 0.07"
G2,Comics: canon & superhero,151,102,0.7930,0.1115,79.5,comics,0.667,0.882,"comics 0.67, fantasy 0.04, science fiction 0.04"
G3,Christianity,139,103,0.6994,0.1117,65.6,religion,0.612,0.806,"religion 0.61, philosophy 0.07, biography & memoir 0.04"
G4,Rock & pop memoir,136,58,0.2841,0.1118,14.5,music,0.178,0.207,"music 0.18, biography & memoir 0.18, children's 0.09"
G5,Creative-writing (MFA) circuit,122,107,0.2915,0.1117,20.8,short stories,0.168,0.346,"short stories 0.17, biography & memoir 0.09, literary fiction 0.08"
G6,Self-help & spirituality,120,94,0.4652,0.1117,39.1,religion,0.334,0.468,"religion 0.33, self-help 0.22, business & economics 0.09"
G7,Comedy & punditry,117,78,0.2423,0.1116,12.7,politics,0.166,0.282,"politics 0.17, humor 0.15, biography & memoir 0.13"
G8,Continental philosophy & theory,109,82,0.4279,0.1119,32.4,philosophy,0.321,0.524,"philosophy 0.32, society 0.12, politics 0.08"
G9,Contemporary romance,108,102,0.6037,0.1118,56.2,romance,0.478,0.657,"romance 0.48, chick lit 0.10, historical fiction 0.06"
G10,Literary & small-press horror,105,97,0.5066,0.1114,44.1,horror,0.279,0.474,"horror 0.28, short stories 0.14, fantasy 0.12"
G11,American crime: private-eye tradition,104,100,0.6097,0.1117,56.0,mystery,0.393,0.620,"mystery 0.39, crime 0.13, thriller 0.12"
G12,Golden Age detection,101,93,0.7114,0.1116,65.0,mystery,0.494,0.839,"mystery 0.49, crime 0.10, thriller 0.07"
G13,Food writing,96,66,0.5108,0.1120,36.1,food,0.533,0.697,"food 0.53, biography & memoir 0.07, history 0.04"
G14,The great-books canon,95,68,0.4741,0.1117,34.0,philosophy,0.395,0.618,"philosophy 0.39, history 0.09, politics 0.07"
G15,Golden-age Hollywood,94,38,0.1837,0.1118,4.5,biography & memoir,0.191,0.263,"biography & memoir 0.19, film 0.10, children's 0.06"
G16,New-century SF/fantasy,92,82,0.6755,0.1121,57.3,science fiction,0.397,0.634,"science fiction 0.40, fantasy 0.18, short stories 0.17"
G17,Literary SF elders,90,88,0.6979,0.1114,63.5,science fiction,0.462,0.784,"science fiction 0.46, fantasy 0.15, short stories 0.13"
G18,Small-press extreme horror,90,74,0.5727,0.1118,43.6,horror,0.368,0.662,"horror 0.37, short stories 0.14, science fiction 0.10"
G19,Popular science & public intellectuals,87,70,0.3774,0.1117,24.7,science,0.315,0.500,"science 0.31, philosophy 0.09, history 0.09"
G20,Golden Age SF,85,76,0.7299,0.1117,60.1,science fiction,0.522,0.816,"science fiction 0.52, short stories 0.13, fantasy 0.09"
G21,Mythic & anthology fantasy,84,78,0.5346,0.1116,41.7,fantasy,0.322,0.462,"fantasy 0.32, science fiction 0.22, short stories 0.10"
G22,Civil-rights & inspirational memoir,83,48,0.2315,0.1117,9.0,biography & memoir,0.133,0.104,"biography & memoir 0.13, history 0.10, society 0.09"
G23,Nature & environmental writing,83,68,0.3089,0.1117,18.3,nature,0.132,0.235,"nature 0.13, biography & memoir 0.13, history 0.07"
